iter	Logloss
0	0.6865675376
1	0.6795915697
2	0.6727761351
3	0.6666496965
4	0.6612419516
5	0.6555287755
6	0.6493603609
7	0.644185243
8	0.638175967
9	0.6327261729
10	0.6274413026
11	0.6228406324
12	0.6176704616
13	0.6125555153
14	0.6077540305
15	0.6033045522
16	0.5982325388
17	0.5931783068
18	0.5882968157
19	0.5839102038
20	0.5800474212
21	0.5775962626
22	0.5732604708
23	0.5696524823
24	0.5651307859
25	0.5610451392
26	0.5570296237
27	0.5528780366
28	0.5493873144
29	0.546812327
30	0.5435434865
31	0.5402475639
32	0.5369976598
33	0.5343004577
34	0.5308363249
35	0.5274393137
36	0.5240666056
37	0.5213465005
38	0.518589408
39	0.5154927668
40	0.5127357393
41	0.5101370462
42	0.507896186
43	0.5048042507
44	0.5023662849
45	0.5001312996
46	0.4988285878
47	0.4963029658
48	0.4939234781
49	0.4913458235
50	0.4888799421
51	0.4862674159
52	0.4842314525
53	0.4818375583
54	0.4796482833
55	0.4779306778
56	0.4761793423
57	0.4741415324
58	0.4720428233
59	0.4701157015
60	0.4680984645
61	0.466024776
62	0.4639481641
63	0.4622206239
64	0.4600797892
65	0.4582809404
66	0.4564569664
67	0.4547739251
68	0.4531563248
69	0.4520184957
70	0.4503336484
71	0.4486586694
72	0.4469871828
73	0.4454419314
74	0.444540032
75	0.4432414956
76	0.4415252392
77	0.4398248046
78	0.4380620364
79	0.4366264608
80	0.4348857134
81	0.4336772171
82	0.432653421
83	0.4320555102
84	0.4305720954
85	0.4292181227
86	0.4278978492
87	0.4269906969
88	0.4258974635
89	0.4248033993
90	0.4236623632
91	0.4228296197
92	0.4218652891
93	0.4206862475
94	0.4197640173
95	0.4190388867
96	0.4183495873
97	0.4176572143
98	0.4168011596
99	0.4159492018
100	0.4148358573
101	0.4140613527
102	0.4130146539
103	0.4119777209
104	0.4112042118
105	0.4102734139
106	0.4093134523
107	0.4086017506
108	0.407947978
109	0.4070588764
110	0.4058615413
111	0.4050271217
112	0.4040720954
113	0.4030737922
114	0.4023653933
115	0.4013708877
116	0.400768523
117	0.3999852864
118	0.3994773345
119	0.398561466
120	0.3979831717
121	0.3975777937
122	0.3970401405
123	0.3966386174
124	0.3959380779
125	0.3952137272
126	0.3944947148
127	0.3939111681
128	0.3933111515
129	0.3925925845
130	0.3920434881
131	0.3912177934
132	0.3906077947
133	0.3897643813
134	0.3893243035
135	0.3888200296
136	0.3881120602
137	0.3874910597
138	0.3868674741
139	0.3866946683
140	0.3862741414
141	0.3858758433
142	0.3852801998
143	0.3846354395
144	0.3840686166
145	0.3837611865
146	0.3834527912
147	0.3832255228
148	0.3827461774
149	0.3823024327
150	0.3818971781
151	0.3811801552
152	0.3808790578
153	0.3804314757
154	0.37997569
155	0.3795087202
156	0.3790140939
157	0.3785406313
158	0.3780482086
159	0.3776995881
160	0.3771219637
161	0.3766017911
162	0.37607983
163	0.3757029803
164	0.3755669179
165	0.3749533963
166	0.3746016126
167	0.3740189005
168	0.373516728
169	0.37324809
170	0.3728189611
171	0.3725008054
172	0.3720681754
173	0.3717400111
174	0.3712205392
175	0.3710237776
176	0.3706589869
177	0.3705485098
178	0.3700439427
179	0.369652772
180	0.3694067948
181	0.3690976155
182	0.368772474
